FIPSCode,Average TAT-RequestLevel(Days),"County, State"
4001,0.577,"apache, az"
4003,0.725,"cochise, az"
4005,0.809,"coconino, az"
4007,1.223,"gila, az"
4009,1.297,"graham, az"
4011,1.226,"greenlee, az"
4013,0.824,"maricopa, az"
4015,1.064,"mohave, az"
4017,1.200,"navajo, az"
4019,0.851,"pima, az"
4021,0.893,"pinal, az"
4023,0.705,"santa cruz, az"
4025,1.696,"yavapai, az"
4027,0.808,"yuma, az"
5001,4.127,"arkansas, ar"
5003,3.210,"ashley, ar"
5005,3.190,"baxter, ar"
5007,4.396,"benton, ar"
5009,3.277,"boone, ar"
5011,2.542,"bradley, ar"
5013,2.559,"calhoun, ar"
5015,2.983,"carroll, ar"
5017,2.076,"chicot, ar"
5019,2.515,"clark, ar"
5021,2.073,"clay, ar"
5023,1.231,"cleburne, ar"
5025,2.843,"cleveland, ar"
5027,2.336,"columbia, ar"
5029,6.077,"conway, ar"
5031,3.240,"craighead, ar"
5033,3.233,"crawford, ar"
5035,3.084,"crittenden, ar"
5037,2.530,"cross, ar"
5039,12.200,"dallas, ar"
5043,2.517,"drew, ar"
5045,1.223,"faulkner, ar"
5047,2.633,"franklin, ar"
5051,3.279,"garland, ar"
5053,3.081,"grant, ar"
5055,2.728,"greene, ar"
5057,4.067,"hempstead, ar"
5059,1.683,"hot spring, ar"
5061,5.160,"howard, ar"
5063,1.383,"independence, ar"
5069,4.227,"jefferson, ar"
5071,7.182,"johnson, ar"
5073,2.273,"lafayette, ar"
5075,2.700,"lawrence, ar"
5079,3.075,"lincoln, ar"
5081,2.821,"little river, ar"
5083,1.202,"logan, ar"
5085,2.247,"lonoke, ar"
5087,4.026,"madison, ar"
5089,2.960,"marion, ar"
5091,3.339,"miller, ar"
5093,3.412,"mississippi, ar"
5095,11.604,"monroe, ar"
5099,2.314,"nevada, ar"
5101,2.772,"newton, ar"
5103,2.436,"ouachita, ar"
5105,3.322,"perry, ar"
5107,3.312,"phillips, ar"
5109,5.492,"pike, ar"
5111,1.832,"poinsett, ar"
5113,2.082,"polk, ar"
5115,2.554,"pope, ar"
5117,2.571,"prairie, ar"
5119,1.374,"pulaski, ar"
5121,2.956,"randolph, ar"
5123,3.855,"saint francis, ar"
5125,2.585,"saline, ar"
5129,3.126,"searcy, ar"
5131,2.403,"sebastian, ar"
5133,5.548,"sevier, ar"
5139,4.116,"union, ar"
5143,3.473,"washington, ar"
5145,2.301,"white, ar"
6001,1.397,"alameda, ca"
6005,1.245,"amador, ca"
6007,2.288,"butte, ca"
6009,1.826,"calaveras, ca"
6011,0.032,"colusa, ca"
6013,1.656,"contra costa, ca"
6015,4.165,"del norte, ca"
6017,3.037,"el dorado, ca"
6019,1.926,"fresno, ca"
6021,1.704,"glenn, ca"
6023,4.511,"humboldt, ca"
