FIPSCode,StateSearched,"County, State",Total TAT-ReportLevel(Days)
45001,sc,"abbeville, sc","4,418.06"
22001,la,"acadia, la","2,134.97"
51001,va,"accomack, va",911.824
16001,id,"ada, id","25,456.39"
19001,ia,"adair, ia",367.927
21001,ky,"adair, ky",904.132
29001,mo,"adair, mo",653.729
40001,ok,"adair, ok",598.313
8001,co,"adams, co","5,234.83"
19003,ia,"adams, ia",116.69
16003,id,"adams, id",100.734
17001,il,"adams, il","1,434.78"
18001,in,"adams, in","1,966.06"
28001,ms,"adams, ms","2,021.52"
38001,nd,"adams, nd",106.107
31001,ne,"adams, ne","1,068.98"
39001,oh,"adams, oh","1,026.58"
42001,pa,"adams, pa","4,116.01"
53001,wa,"adams, wa",161.21
55001,wi,"adams, wi",634.196
50001,vt,"addison, vt","1,432.75"
45003,sc,"aiken, sc","15,671.62"
27001,mn,"aitkin, mn",370.429
12001,fl,"alachua, fl","9,699.19"
37001,nc,"alamance, nc","1,546.87"
6001,ca,"alameda, ca","144,479.31"
8003,co,"alamosa, co",63.551
36001,ny,"albany, ny","4,486.35"
56001,wy,"albany, wy","3,863.34"
51003,va,"albemarle, va","4,802.90"
26001,mi,"alcona, mi",437.893
28003,ms,"alcorn, ms","1,010.86"
2013,ak,"aleutians east, ak",133.284
2016,ak,"aleutians west, ak",609.343
17003,il,"alexander, il",349.387
37003,nc,"alexander, nc",482.279
51510,va,"alexandria city, va","17,096.29"
40003,ok,"alfalfa, ok",478.174
26003,mi,"alger, mi",382.166
19005,ia,"allamakee, ia",229.778
26005,mi,"allegan, mi","4,466.37"
24001,md,"allegany, md","1,141.71"
36003,ny,"allegany, ny",39.531
37005,nc,"alleghany, nc",85.671
51005,va,"alleghany, va",363.01
42003,pa,"allegheny, pa","79,097.12"
18003,in,"allen, in","23,571.20"
20001,ks,"allen, ks",165.151
21003,ky,"allen, ky","1,597.16"
22003,la,"allen, la",917.232
39003,oh,"allen, oh","5,905.88"
45005,sc,"allendale, sc","1,262.36"
26007,mi,"alpena, mi",838.349
6003,ca,"alpine, ca",150.127
6005,ca,"amador, ca","1,035.55"
51007,va,"amelia, va",501.668
51009,va,"amherst, va",798.883
28005,ms,"amite, ms",312.954
2020,ak,"anchorage, ak","15,677.95"
20003,ks,"anderson, ks",157.251
21005,ky,"anderson, ky","1,527.81"
45007,sc,"anderson, sc","19,442.67"
47001,tn,"anderson, tn","4,279.32"
48001,tx,"anderson, tx","1,608.15"
29003,mo,"andrew, mo",149.73
48003,tx,"andrews, tx",898.95
23001,me,"androscoggin, me","1,787.50"
48005,tx,"angelina, tx","2,512.34"
24003,md,"anne arundel, md","7,895.47"
27003,mn,"anoka, mn","16,981.75"
37007,nc,"anson, nc",232.064
31003,ne,"antelope, ne",47.818
26009,mi,"antrim, mi",702.09
4001,az,"apache, az","1,274.62"
19007,ia,"appanoose, ia",330.122
13001,ga,"appling, ga",495.377
51011,va,"appomattox, va",522.259
48007,tx,"aransas, tx","2,290.66"
8005,co,"arapahoe, co","12,576.08"
48009,tx,"archer, tx",550.403
8007,co,"archuleta, co",49.177
26011,mi,"arenac, mi","1,028.24"
5001,ar,"arkansas, ar",213.988
51013,va,"arlington, va","23,679.51"
42005,pa,"armstrong, pa","2,009.92"
48011,tx,"armstrong, tx",119.309
23003,me,"aroostook, me",556.192
31005,ne,"arthur, ne",34.462
22005,la,"ascension, la","4,705.27"
37009,nc,"ashe, nc",353.181
39005,oh,"ashland, oh","1,701.81"
55003,wi,"ashland, wi",374.216
5003,ar,"ashley, ar",261.414
39007,oh,"ashtabula, oh","3,050.05"
53003,wa,"asotin, wa",54.441
22007,la,"assumption, la",854.127
48013,tx,"atascosa, tx","7,068.68"
20005,ks,"atchison, ks",353.888
29005,mo,"atchison, mo",102.409
39009,oh,"athens, oh","3,308.99"
13003,ga,"atkinson, ga",273.89
34001,nj,"atlantic, nj","4,070.91"
40005,ok,"atoka, ok",596.548
28007,ms,"attala, ms",638.899
29007,mo,"audrain, mo",425.547
19009,ia,"audubon, ia",144.213
39011,oh,"auglaize, oh","4,055.81"
51015,va,"augusta, va","2,003.65"
46003,sd,"aurora, sd",3.743
48015,tx,"austin, tx","5,688.27"
1001,al,"autauga, al",276.713
37011,nc,"avery, nc",288.386
22009,la,"avoyelles, la","1,355.29"
8009,co,"baca, co",0.099
13005,ga,"bacon, ga",399.65
48017,tx,"bailey, tx",377.166
12003,fl,"baker, fl",654.514
13007,ga,"baker, ga",150.729
41001,or,"baker, or",47.223
1003,al,"baldwin, al","1,466.41"
13009,ga,"baldwin, ga","1,926.71"
21007,ky,"ballard, ky",500.216
24510,md,"baltimore city, md","8,948.20"
24005,md,"baltimore, md","9,815.34"
45009,sc,"bamberg, sc","1,831.63"
48019,tx,"bandera, tx","1,507.13"
13011,ga,"banks, ga","1,650.99"
31007,ne,"banner, ne",3.784
16005,id,"bannock, id","4,014.68"
26013,mi,"baraga, mi",183.841
20007,ks,"barber, ks",133.874
1005,al,"barbour, al",118.317
54001,wv,"barbour, wv","2,364.10"
38003,nd,"barnes, nd",324.005
25001,ma,"barnstable, ma","8,166.57"
45011,sc,"barnwell, sc","2,766.62"
21009,ky,"barren, ky","2,678.66"
55005,wi,"barron, wi","1,437.48"
13013,ga,"barrow, ga","6,197.09"
26015,mi,"barry, mi","3,498.37"
29009,mo,"barry, mo",211.29
18005,in,"bartholomew, in","8,907.94"
20009,ks,"barton, ks",520.466
29011,mo,"barton, mo",136.327
13015,ga,"bartow, ga","7,636.68"
48021,tx,"bastrop, tx","5,293.29"
29013,mo,"bates, mo",229.453
21011,ky,"bath, ky",321.176
51017,va,"bath, va",161.782
5005,ar,"baxter, ar",732.331
12005,fl,"bay, fl","5,227.97"
26017,mi,"bay, mi","4,105.24"
55007,wi,"bayfield, wi",347.561
48023,tx,"baylor, tx",151.542
46005,sd,"beadle, sd",85.372
16007,id,"bear lake, id",178.04
37013,nc,"beaufort, nc","1,002.35"
45013,sc,"beaufort, sc","16,555.63"
22011,la,"beauregard, la","1,698.09"
40007,ok,"beaver, ok",360.521
42007,pa,"beaver, pa","8,238.20"
49001,ut,"beaver, ut",284.729
30001,mt,"beaverhead, mt",308.383
27005,mn,"becker, mn",579.698
40009,ok,"beckham, ok",899.647
51515,va,"bedford city, va",903.098
42009,pa,"bedford, pa","1,968.39"
47003,tn,"bedford, tn","7,560.08"
51019,va,"bedford, va","2,047.10"
48025,tx,"bee, tx","1,723.10"
33001,nh,"belknap, nh","4,542.44"
21013,ky,"bell, ky",976.652
48027,tx,"bell, tx","32,941.16"
39013,oh,"belmont, oh","5,412.65"
27007,mn,"beltrami, mn",676.845
13017,ga,"ben hill, ga",596.045
16009,id,"benewah, id",243.777
50003,vt,"bennington, vt",869.432
38005,nd,"benson, nd",60.24
8011,co,"bent, co",7.495
5007,ar,"benton, ar","11,141.28"
19011,ia,"benton, ia","1,391.88"
18007,in,"benton, in",520.725
27009,mn,"benton, mn","1,060.51"
29015,mo,"benton, mo",218.949
28009,ms,"benton, ms",446.927
41003,or,"benton, or",720.469
47005,tn,"benton, tn",962.163
53005,wa,"benton, wa","1,543.88"
26019,mi,"benzie, mi",583.509
34003,nj,"bergen, nj","12,356.33"
45015,sc,"berkeley, sc","20,131.48"
54003,wv,"berkeley, wv","6,757.00"
42011,pa,"berks, pa","18,794.18"
25003,ma,"berkshire, ma","2,976.70"
35001,nm,"bernalillo, nm","21,446.44"
13019,ga,"berrien, ga",686.571
26021,mi,"berrien, mi","7,864.73"
37015,nc,"bertie, nc",493.802
2050,ak,"bethel, ak",459.163
48029,tx,"bexar, tx","84,723.92"
1007,al,"bibb, al",124.99
13021,ga,"bibb, ga","7,318.05"
22013,la,"bienville, la",604.319
30003,mt,"big horn, mt",136.256
56003,wy,"big horn, wy",385.906
27011,mn,"big stone, mn",87.797
38007,nd,"billings, nd",87.066
16011,id,"bingham, id","1,127.90"
19013,ia,"black hawk, ia","6,366.20"
18009,in,"blackford, in",958.117
37017,nc,"bladen, nc","1,012.31"
16013,id,"blaine, id","1,158.73"
30005,mt,"blaine, mt",36.407
31009,ne,"blaine, ne",9.408
40011,ok,"blaine, ok",497.854
42013,pa,"blair, pa","2,906.94"
48031,tx,"blanco, tx","1,510.82"
51021,va,"bland, va",189.794
13023,ga,"bleckley, ga",351.595
47007,tn,"bledsoe, tn",545.682
1009,al,"blount, al",575.078
47009,tn,"blount, tn","5,140.46"
27013,mn,"blue earth, mn","3,454.27"
16015,id,"boise, id",445.692
28011,ms,"bolivar, ms","1,731.31"
29017,mo,"bollinger, mo",108.264
46009,sd,"bon homme, sd",47.871
17005,il,"bond, il",825.908
16017,id,"bonner, id","1,217.32"
16019,id,"bonneville, id","3,824.36"
